epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9067,1.3099,1.78959,1.04857,0.32291,0.26676,0.27512,0.17124,1.21395,1.15378,1.04653,0.000297389,0.000297389,0.000297389
2,63.7915,1.21219,1.14204,1.00543,0.32116,0.37558,0.30226,0.19267,1.1581,1.3301,1.03798,0.000588501,0.000588501,0.000588501
3,117.789,1.20705,1.0586,0.99414,0.5593,0.30169,0.34208,0.19589,1.24702,1.18391,1.06112,0.000867615,0.000867615,0.000867615
4,169.238,1.22026,1.03416,1.01093,0.46332,0.38168,0.40307,0.23695,1.16582,0.96292,1.04527,0.000855005,0.000855005,0.000855005
5,222.393,1.18677,0.97409,0.99285,0.50555,0.3789,0.39806,0.25947,1.14797,0.9572,1.03918,0.000837007,0.000837007,0.000837007
6,264.558,1.14792,0.91443,0.98037,0.48409,0.44257,0.44742,0.27775,1.12182,0.88391,1.01521,0.000819009,0.000819009,0.000819009
7,289.584,1.15023,0.88591,0.9775,0.54518,0.40832,0.45897,0.29137,1.12794,0.89118,1.02053,0.000801011,0.000801011,0.000801011
8,320.922,1.11294,0.85214,0.96455,0.53435,0.44121,0.50037,0.31886,1.10539,0.84198,1.01654,0.000783013,0.000783013,0.000783013
9,353.671,1.11056,0.83861,0.96352,0.50978,0.47293,0.48078,0.31236,1.08029,0.83551,0.99896,0.000765014,0.000765014,0.000765014
10,380.225,1.1169,0.83583,0.97445,0.57766,0.44666,0.49037,0.31198,1.08391,0.79426,1.00404,0.000747016,0.000747016,0.000747016
11,427.149,1.09188,0.81826,0.96446,0.58904,0.44517,0.51544,0.34117,1.09809,0.81152,1.00359,0.000729018,0.000729018,0.000729018
12,452.243,1.0612,0.7635,0.95284,0.68893,0.4969,0.56913,0.37063,1.05605,0.74999,0.99216,0.00071102,0.00071102,0.00071102
13,494.636,1.0727,0.77029,0.9548,0.56576,0.50947,0.52124,0.34085,1.04771,0.75019,0.98832,0.000693022,0.000693022,0.000693022
14,577.151,1.06472,0.77164,0.95341,0.71621,0.4738,0.53749,0.34882,1.0591,0.78859,0.99937,0.000675023,0.000675023,0.000675023
15,629.212,1.0309,0.74403,0.94479,0.58326,0.4827,0.51928,0.33884,1.05469,0.79339,0.993,0.000657025,0.000657025,0.000657025
16,694.161,1.04594,0.72561,0.94554,0.68016,0.48684,0.5339,0.35864,1.01616,0.71882,0.97945,0.000639027,0.000639027,0.000639027
17,731.567,1.00973,0.69571,0.93679,0.67429,0.4913,0.5681,0.37783,1.02454,0.7191,0.98337,0.000621029,0.000621029,0.000621029
18,806.891,1.00135,0.69651,0.93015,0.56598,0.50848,0.54122,0.36639,1.02097,0.72369,0.98604,0.000603031,0.000603031,0.000603031
19,904.414,0.9942,0.66827,0.93197,0.46508,0.47973,0.46773,0.31451,1.01433,0.79508,0.97967,0.000585032,0.000585032,0.000585032
20,1022.83,0.98503,0.6705,0.92541,0.5742,0.54309,0.56626,0.37623,1.02013,0.71052,0.98544,0.000567034,0.000567034,0.000567034
21,1062.4,0.97445,0.65925,0.92308,0.66397,0.49816,0.55993,0.37864,1.00106,0.69933,0.97398,0.000549036,0.000549036,0.000549036
22,1088.6,0.97466,0.65338,0.9222,0.60815,0.50467,0.55342,0.36776,1.0054,0.70709,0.97599,0.000531038,0.000531038,0.000531038
23,1116.83,0.97406,0.66453,0.92536,0.5732,0.47335,0.52509,0.34683,1.00604,0.73905,0.9792,0.00051304,0.00051304,0.00051304
24,1143.24,0.95756,0.64563,0.91952,0.59595,0.5344,0.54988,0.37483,0.99786,0.72312,0.96915,0.000495041,0.000495041,0.000495041
25,1168.58,0.94588,0.62822,0.91521,0.61996,0.53303,0.56467,0.38177,0.99072,0.68901,0.97471,0.000477043,0.000477043,0.000477043
26,1194.05,0.92526,0.60293,0.90752,0.54938,0.62176,0.59961,0.40764,0.98504,0.66757,0.96754,0.000459045,0.000459045,0.000459045
27,1227.14,0.9159,0.58001,0.90811,0.62052,0.50686,0.57082,0.37779,0.99064,0.68923,0.96796,0.000441047,0.000441047,0.000441047
28,1281.96,0.93388,0.59799,0.91184,0.63389,0.52144,0.55478,0.37476,0.99262,0.6929,0.97594,0.000423049,0.000423049,0.000423049
