epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9077,1.2502,1.74955,1.02756,0.34128,0.34973,0.27746,0.17763,1.15655,1.17941,1.00948,0.000298033,0.000298033,0.000298033
2,69.0781,1.22541,1.26813,1.00674,0.47837,0.34679,0.30042,0.18747,1.15893,1.09238,1.02268,0.000593099,0.000593099,0.000593099
3,98.0752,1.21667,1.17347,1.00979,0.51387,0.34826,0.31524,0.1914,1.19784,1.20224,1.03849,0.000880166,0.000880166,0.000880166
4,126.201,1.19186,1.13306,1.00143,0.38748,0.38723,0.37666,0.23646,1.16956,1.03972,1.0265,0.000873004,0.000873004,0.000873004
5,156.331,1.16289,1.06858,0.98773,0.42894,0.39807,0.36432,0.22859,1.11586,0.97008,1.02176,0.000861005,0.000861005,0.000861005
6,191.174,1.15608,1.03818,0.98485,0.4971,0.39042,0.4211,0.26217,1.12277,0.92265,1.0133,0.000849006,0.000849006,0.000849006
7,229.289,1.15938,1.02198,0.99047,0.474,0.38564,0.40021,0.25189,1.11947,0.95472,1.01094,0.000837007,0.000837007,0.000837007
8,257.771,1.12247,0.99159,0.97678,0.46328,0.39422,0.41251,0.25412,1.12249,0.92586,1.02618,0.000825008,0.000825008,0.000825008
9,288.626,1.09032,0.94143,0.96433,0.49252,0.39679,0.42946,0.2762,1.10081,0.87274,1.00767,0.00081301,0.00081301,0.00081301
10,318.368,1.09957,0.94129,0.96834,0.66498,0.43648,0.48727,0.30991,1.08172,0.80927,1.00018,0.000801011,0.000801011,0.000801011
11,351.812,1.09411,0.9411,0.96773,0.47677,0.4818,0.47527,0.30225,1.06279,0.83563,0.98914,0.000789012,0.000789012,0.000789012
12,382.911,1.06905,0.90657,0.95668,0.59519,0.47181,0.49548,0.32412,1.07627,0.82329,0.99629,0.000777013,0.000777013,0.000777013
13,410.934,1.05129,0.87645,0.95291,0.5102,0.48763,0.47985,0.31217,1.06241,0.81482,0.99342,0.000765014,0.000765014,0.000765014
14,438.545,1.04943,0.88021,0.95531,0.59976,0.48204,0.50406,0.32262,1.07165,0.78766,1.00608,0.000753016,0.000753016,0.000753016
15,466.645,1.03937,0.8588,0.95266,0.59802,0.43995,0.49368,0.31571,1.05586,0.79712,0.99965,0.000741017,0.000741017,0.000741017
16,494.631,1.0408,0.87616,0.94978,0.65442,0.42667,0.50315,0.32347,1.05012,0.79389,0.99608,0.000729018,0.000729018,0.000729018
17,523.704,1.03099,0.84613,0.94774,0.56428,0.49185,0.53937,0.35767,1.02751,0.76302,0.98868,0.000717019,0.000717019,0.000717019
18,553.833,0.99407,0.8197,0.93368,0.56758,0.46867,0.51171,0.33264,1.0354,0.81756,0.98467,0.00070502,0.00070502,0.00070502
19,582.457,1.01665,0.83786,0.94468,0.65378,0.47096,0.53497,0.34806,1.04449,0.74514,0.98789,0.000693022,0.000693022,0.000693022
20,613.442,1.00709,0.82262,0.9386,0.5745,0.50991,0.54037,0.34724,1.03189,0.77051,0.98532,0.000681023,0.000681023,0.000681023
21,642.706,0.99806,0.80793,0.93247,0.68756,0.42999,0.50877,0.32842,1.03644,0.77732,0.98681,0.000669024,0.000669024,0.000669024
22,673.783,0.97427,0.76236,0.92962,0.59145,0.51402,0.54498,0.36293,1.0216,0.73209,0.98907,0.000657025,0.000657025,0.000657025
23,708.376,0.97554,0.76013,0.9249,0.55266,0.46433,0.51788,0.34329,1.02995,0.77497,0.98732,0.000645026,0.000645026,0.000645026
24,738.06,0.96348,0.76398,0.92283,0.61556,0.48782,0.53103,0.345,1.00782,0.76179,0.97578,0.000633028,0.000633028,0.000633028
25,766.915,0.96229,0.72898,0.9204,0.60328,0.49017,0.56218,0.36417,1.00837,0.70672,0.97573,0.000621029,0.000621029,0.000621029
26,795.886,0.96298,0.74149,0.9241,0.56638,0.51843,0.53775,0.36431,1.00946,0.75831,0.97839,0.00060903,0.00060903,0.00060903
27,825.029,0.94774,0.73077,0.92087,0.63006,0.50432,0.55308,0.36446,1.01108,0.71941,0.97892,0.000597031,0.000597031,0.000597031
28,853.426,0.9532,0.72386,0.916,0.54149,0.51458,0.53686,0.35375,0.99379,0.74098,0.97348,0.000585032,0.000585032,0.000585032
29,881.277,0.94672,0.69626,0.91324,0.58221,0.50978,0.5461,0.35619,1.01898,0.74617,0.98365,0.000573034,0.000573034,0.000573034
30,908.853,0.92539,0.70663,0.91306,0.60459,0.46538,0.5203,0.34539,1.00986,0.75053,0.97829,0.000561035,0.000561035,0.000561035
31,936.826,0.93834,0.69309,0.91638,0.59385,0.48466,0.52991,0.34464,1.02508,0.73455,0.98396,0.000549036,0.000549036,0.000549036
32,965.717,0.92337,0.69401,0.9118,0.56375,0.47641,0.51051,0.34009,1.0091,0.76092,0.98581,0.000537037,0.000537037,0.000537037
33,995.258,0.89946,0.67803,0.90095,0.57714,0.51264,0.52449,0.34128,1.01788,0.77792,0.98113,0.000525038,0.000525038,0.000525038
34,1025.16,0.89932,0.66993,0.8991,0.6492,0.50416,0.5501,0.3634,0.99691,0.7394,0.97835,0.00051304,0.00051304,0.00051304
35,1058.71,0.90054,0.64494,0.89761,0.63109,0.47352,0.53451,0.35769,0.99263,0.73981,0.97542,0.000501041,0.000501041,0.000501041
