epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9962,1.01773,0.90905,1.00206,0.63623,0.54779,0.58279,0.37751,1.02458,0.72913,0.97103,0.000164474,0.000164474,0.0672697
2,39.4596,1.00471,0.85924,0.98044,0.65433,0.54377,0.56717,0.37355,1.00541,0.73073,0.97522,0.000331059,0.000331059,0.034103
3,58.5148,0.99237,0.83126,0.96703,0.67428,0.55295,0.60546,0.40466,0.99713,0.68628,0.96939,0.000497321,0.000497321,0.000935917
4,77.631,0.99552,0.83576,0.97101,0.71365,0.49287,0.59322,0.3905,1.00737,0.69316,0.97891,0.000498902,0.000498902,0.000498902
5,96.7742,0.98081,0.82473,0.96333,0.68576,0.55458,0.60626,0.40742,0.99563,0.68139,0.97273,0.000498048,0.000498048,0.000498048
6,116.044,0.98261,0.80173,0.9697,0.7415,0.48219,0.59584,0.40038,0.99248,0.69157,0.97,0.000496953,0.000496953,0.000496953
7,135.264,0.99235,0.85448,0.97667,0.69272,0.535,0.57182,0.37566,1.0071,0.70469,0.97453,0.000495616,0.000495616,0.000495616
8,154.575,0.99609,0.83197,0.96597,0.57285,0.54446,0.56179,0.36961,0.98678,0.69286,0.96815,0.000494039,0.000494039,0.000494039
9,173.703,0.96511,0.79809,0.95592,0.70482,0.5356,0.58753,0.39237,0.99519,0.71382,0.96718,0.000492224,0.000492224,0.000492224
10,192.924,0.96564,0.80198,0.9543,0.66697,0.51188,0.57595,0.38484,1.00142,0.71271,0.96915,0.000490173,0.000490173,0.000490173
11,212.152,0.97857,0.78731,0.9593,0.5934,0.57641,0.58714,0.39504,1.0035,0.69891,0.97191,0.000487886,0.000487886,0.000487886
12,232.11,0.963,0.78548,0.9585,0.61512,0.50681,0.55869,0.37106,0.99954,0.71982,0.97276,0.000485368,0.000485368,0.000485368
13,252.502,0.96971,0.79873,0.95985,0.747,0.49832,0.57008,0.37951,0.99169,0.70116,0.97815,0.00048262,0.00048262,0.00048262
14,273.387,0.95819,0.78311,0.95284,0.66726,0.4999,0.55474,0.36914,0.99952,0.70696,0.97421,0.000479644,0.000479644,0.000479644
15,294.468,0.95104,0.76023,0.95105,0.6594,0.48572,0.56111,0.37853,0.98942,0.69972,0.96887,0.000476445,0.000476445,0.000476445
16,315.209,0.93971,0.75207,0.9461,0.5847,0.53869,0.56179,0.37308,0.99796,0.70088,0.9718,0.000473024,0.000473024,0.000473024
17,336.036,0.94528,0.7601,0.94426,0.69595,0.51263,0.56527,0.36995,1.00057,0.71348,0.97666,0.000469386,0.000469386,0.000469386
18,357.074,0.93862,0.74661,0.94914,0.67482,0.51902,0.58845,0.39514,1.0048,0.68543,0.97402,0.000465534,0.000465534,0.000465534
19,378.022,0.95385,0.77124,0.95691,0.66929,0.52283,0.57893,0.38958,1.00475,0.72202,0.97667,0.000461471,0.000461471,0.000461471
20,399.078,0.94894,0.74695,0.94288,0.70506,0.49268,0.55711,0.37816,0.9961,0.71943,0.97355,0.000457202,0.000457202,0.000457202
21,420.402,0.95063,0.75306,0.94678,0.69572,0.49129,0.55747,0.37596,1.00413,0.72222,0.97787,0.000452732,0.000452732,0.000452732
22,441.425,0.92464,0.72177,0.93661,0.68578,0.49666,0.5622,0.38147,0.98946,0.71846,0.97093,0.000448063,0.000448063,0.000448063
23,462.536,0.91934,0.72406,0.9363,0.57103,0.53579,0.54627,0.3729,0.98847,0.69501,0.97689,0.000443202,0.000443202,0.000443202
24,483.92,0.92665,0.70242,0.9346,0.5961,0.52498,0.54509,0.36915,0.99631,0.7196,0.96858,0.000438152,0.000438152,0.000438152
25,504.937,0.91872,0.71193,0.93186,0.62616,0.51454,0.5492,0.36552,0.99774,0.71394,0.97103,0.00043292,0.00043292,0.00043292
