epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.147,1.98167,2.74076,1.48947,2e-05,0.00021,0,0,nan,nan,nan,0.0049375,0.0049375,0.0720208
2,206.612,1.92388,2.19413,1.479,0.00549,0.00794,0.00015,0.00012,nan,nan,nan,0.00992234,0.00992234,0.0436723
3,265.19,1.85029,2.11379,1.43053,0.21166,0.09776,0.04604,0.02065,nan,nan,nan,0.0148465,0.0148465,0.0152631
4,331.948,1.79283,1.97215,1.37983,0.0722,0.21553,0.02825,0.01215,1.88207,3.05556,1.50188,0.0147948,0.0147948,0.0147948
5,376.206,1.70792,1.89896,1.34414,0.14467,0.1536,0.10334,0.05403,1.70462,1.67732,1.37715,0.0146366,0.0146366,0.0146366
6,414.035,1.65298,1.8334,1.32004,0.17443,0.27393,0.13161,0.06782,1.64391,1.59719,1.31822,0.0144348,0.0144348,0.0144348
7,450.292,1.61742,1.76344,1.28465,0.16461,0.21803,0.12654,0.0685,1.50862,1.5341,1.23189,0.0141907,0.0141907,0.0141907
8,487.996,1.56424,1.69611,1.26456,0.35095,0.19072,0.15868,0.08961,1.46623,1.38054,1.21447,0.0139059,0.0139059,0.0139059
9,531.482,1.54733,1.65636,1.25411,0.63652,0.15747,0.13643,0.07473,1.56661,1.49286,1.25318,0.013582,0.013582,0.013582
10,570.814,1.50963,1.61418,1.23593,0.18572,0.28934,0.16851,0.09211,1.46426,1.31087,1.21145,0.013221,0.013221,0.013221
11,632.776,1.47882,1.61605,1.23624,0.23136,0.30086,0.20107,0.11547,1.37553,1.18035,1.18011,0.0128253,0.0128253,0.0128253
12,102.964,1.4902,1.57213,1.22225,0.31275,0.30302,0.21975,0.12608,1.38026,1.26167,1.16701,0.0123972,0.0123972,0.0123972
13,269.753,1.42297,1.51615,1.20014,0.43287,0.23289,0.21081,0.12202,1.35471,1.16213,1.15524,0.0119393,0.0119393,0.0119393
13,35.1203,1.38247,1.48377,1.17154,0.30005,0.3165,0.24122,0.13821,1.3614,1.19137,1.16472,0.0119393,0.0119393,0.0119393
14,66.5238,1.38705,1.47988,1.18361,0.4634,0.23062,0.23813,0.13663,1.34132,1.20613,1.14784,0.0114546,0.0114546,0.0114546
15,100.82,1.43129,1.51894,1.19248,0.26738,0.2842,0.21856,0.12349,1.36212,1.25001,1.154,0.0109459,0.0109459,0.0109459
16,138.15,1.39838,1.46137,1.17471,0.3601,0.29145,0.2613,0.16061,1.27923,1.06828,1.12937,0.0104164,0.0104164,0.0104164
17,179.015,1.36656,1.44284,1.15957,0.38425,0.33749,0.30341,0.17793,1.24866,1.03665,1.09998,0.00986945,0.00986945,0.00986945
18,226.664,1.34648,1.39203,1.16019,0.51943,0.28165,0.28937,0.17144,1.2712,1.03244,1.11461,0.00930833,0.00930833,0.00930833
19,271.782,1.33659,1.36035,1.13869,0.33315,0.28793,0.272,0.1597,1.27752,1.05403,1.1131,0.00873653,0.00873653,0.00873653
20,306.745,1.31862,1.34636,1.13779,0.43249,0.25776,0.27216,0.15963,1.2658,1.06044,1.12492,0.00815756,0.00815756,0.00815756
21,341.593,1.27802,1.31091,1.12115,0.53229,0.29699,0.34003,0.21175,1.194,0.97005,1.07721,0.007575,0.007575,0.007575
22,375.436,1.24073,1.28227,1.10326,0.52398,0.29833,0.33234,0.201,1.18545,1.01107,1.07399,0.00699244,0.00699244,0.00699244
23,413.06,1.24327,1.3035,1.11438,0.43623,0.36161,0.34068,0.20328,1.20552,0.99043,1.08005,0.00641347,0.00641347,0.00641347
24,456.552,1.27644,1.30527,1.12116,0.55146,0.32347,0.36069,0.2058,1.25649,0.95955,1.1025,0.00584167,0.00584167,0.00584167
25,507.741,1.27135,1.27416,1.10057,0.37433,0.37783,0.32983,0.194,1.18652,0.94486,1.07169,0.00528055,0.00528055,0.00528055
26,564.236,1.25113,1.24972,1.09595,0.46782,0.39832,0.37974,0.23673,1.15503,0.92227,1.05927,0.00473358,0.00473358,0.00473358
27,604.729,1.22372,1.22426,1.09572,0.54089,0.35958,0.39155,0.23683,1.14994,0.93544,1.06348,0.00420412,0.00420412,0.00420412
28,641.066,1.21372,1.22434,1.08804,0.52839,0.40946,0.42102,0.26388,1.14924,0.91843,1.05466,0.00369545,0.00369545,0.00369545
29,683.839,1.20332,1.18523,1.08386,0.42502,0.38156,0.37625,0.23169,1.11836,0.89827,1.04416,0.00321069,0.00321069,0.00321069
30,732.402,1.16488,1.17076,1.06934,0.56508,0.35984,0.41388,0.25502,1.09505,0.85813,1.03655,0.00275285,0.00275285,0.00275285
31,789.588,1.14099,1.1507,1.06871,0.55545,0.37901,0.42282,0.25993,1.1011,0.88003,1.03721,0.00232473,0.00232473,0.00232473
32,844.921,1.13494,1.13247,1.06671,0.54905,0.3568,0.41855,0.2579,1.10777,0.89742,1.0421,0.00192899,0.00192899,0.00192899
33,883.474,1.11749,1.10118,1.05975,0.52799,0.38166,0.4149,0.26061,1.09898,0.84989,1.04056,0.00156805,0.00156805,0.00156805
34,928.898,1.11405,1.09982,1.06139,0.53654,0.37849,0.41904,0.25529,1.09937,0.87863,1.03563,0.00124415,0.00124415,0.00124415
35,963.19,1.08739,1.07663,1.03997,0.48295,0.40338,0.43175,0.26764,1.08422,0.84545,1.03292,0.000959277,0.000959277,0.000959277
36,998.4,1.0979,1.06723,1.04777,0.58691,0.36484,0.43587,0.2701,1.08259,0.84247,1.03074,0.000715194,0.000715194,0.000715194
37,1046.35,1.08984,1.0633,1.04055,0.47674,0.42526,0.44659,0.28371,1.07268,0.83294,1.02865,0.000513405,0.000513405,0.000513405
38,1114.61,1.09024,1.05855,1.03986,0.5108,0.4091,0.4522,0.28613,1.0722,0.83644,1.02746,0.000355153,0.000355153,0.000355153
39,1167.3,1.08965,1.05562,1.03699,0.52976,0.39967,0.45417,0.29084,1.06925,0.83294,1.02725,0.000241414,0.000241414,0.000241414
40,1203.37,1.06962,1.04135,1.03452,0.48503,0.42151,0.44719,0.28209,1.06943,0.832,1.02704,0.000172889,0.000172889,0.000172889
